comments,status,rating
Railway minister told. Silver line is not approved,neutral,4
Kerala budget will be beneficial for Bengali youth because malayali youths don&#39;t want to stay in Kerala. In future they may not want to go to colleges in Kerala. So all these infrastructure we are making will be very useful for Bengali youths. It is a gift by communist party to them whose future they destroyed by their 35 years misrule.,positive,2
keralam kulamay,negative,3
keralathinte nallla bhaviku vendiyalle,negative,4
ldf vanu ellam sheriyay,positive,1
ayyo kashttakalam varunu,positive,1
Central budget nalla budget anu moyanth anchore....,positive,0
എന്നിട്ട് മറ്റു സ്റ്റേറ്റുകൾ കരയുന്നില്ല ഭായ്,positive,0
petrol vila kudiyallo,positive,5
elarum nokki irunno,negative,2
എന്നിട്ട് മറ്റു സ്റ്റേറ്റുകൾ കരയുന്നില്ല ഭായ്,neutral,0
ഇതൊരു &#39;പിടിച്ചുപറി ബജറ്റ്&#39; ആയിപ്പോയി🤣🤣😂😂ഒരു ധനസമാഹരണ പദ്ധതികളും ഈ &#39;ഫ്ലോപ്പ്ഡ് ബജറ്റി&#39;ൽ ഇല്ല. ഉള്ളതുമുഴുവൻ പണമടിച്ചുമാറ്റുവാനുള്ള &#39;കടലാസ് പദ്ധതികൾ&#39; !!!!!!! കുറെ കടിച്ചാൽ പൊട്ടാത്ത &#39;സാമ്പത്തികശാസ്ത്രപദപ്രയോഗങ്ങൾ&#39; കേരളജനതയ്ക്കു സൗജന്യമായി കിട്ടി😀😀😀,positive,1
"SI ആണോ ആഗ്രഹം. എന്നാൽ അതൊരു ലക്ഷ്യമായി കാണുന്നുള്ളവർക്ക് ഉള്ളതാണ് ഈ ഒരു ബാച്ച്. Sub Inspector Batch 3 ഉടൻ ആരംഭിക്കുന്നു.. <a href=""https://adda247.app.link/orgSI"">https://adda247.app.link/orgSI</a> ഉടൻ ജോയിൻ ചെയ്യൂ.. മികച്ച ഡിസ്കൗണ്ട് ലഭിക്കാൻ Y681 എന്ന കോഡ് ഉപയോഗിക്കുക",positive,2
Thank you miss,negative,5
budget thomasettan venam ayrnu,negative,4
Teacher thanks For this valuable information ☺️❤️😍,neutral,2
balagopale ntha chyka,positive,4
Thank you mam♥️,positive,5
ldf vanu ellam sheriyaki,positive,4
Miss centre budget cheyamo,positive,2
"ബജറ്റ്‌ ഒറ്റനോട്ടത്തിൽ<br><br>വില കുറയും....<br><br>1. കാഞ്ഞിരക്കുരു<br>2. എലിവിഷം<br>3. പാറ്റ ഗുളിക<br>4. കയർ<br>5. ഒതളങ്ങ<br>6. ഫ്യൂറഡാൻ<br>7. പരുത്തിക്കുരു<br>8. ടേപ്പ്‌ റക്കോഡർ<br>9. ക്രയോജെനിക്‌ ഇന്ധനം<br>10. തോർത്ത് മുണ്ട്<br><br>നികുതി തീരുവയിൽ നിന്നൊഴിവാക്കി.....<br><br>1. കസ്തൂരി മാനിന്റെ തോൽ<br>2. വിമാന എഞ്ചിന്റെ സ്ക്രൂ<br>3. കോഹിനൂർ രത്നം<br>4. പുലിപ്പല്ല്<br>5. കണ്ടാമൃഗത്തിന്റെ തീറ്റ <br>6. ഫുൾ ഓപ്ഷൻ കണ്ണടകൾ<br><br>വില കൂടും....<br><br>1. അരി<br>2. പഞ്ചസാര<br>3. വെളിച്ചെണ്ണ<br>4. പാചകവാതകം<br>5. ഡീസൽ, പെട്രോൾ<br>6. മണ്ണെണ്ണ<br>7. മദ്യം<br>8. ബിയർ, വൈൻ<br>9. ജീവൻ രക്ഷാ ഔഷധങ്ങൾ<br> സുഖചികിത്സക്ക് പ്രത്യേക പാക്കേജ് പാകിസ്ഥാനിലെ പട്ടിണി മാറ്റാൻ തുക വകയിരുത്തും.<br><br> കേരള ഐക്യരാഷ്ട്ര സഭ രൂപീകരിക്കും <br><br>ഉക്രെയിന് യുദ്ധ സഹായം,<br><br> വാക്സിൻ നിർമ്മിക്കാൻ ക്യൂബയിൽ നിന്ന് ഗവേഷകരെ കൊണ്ട് വരും<br><br>ചൈനയുമായി വാണിജ്യ കരാർ<br><br>ചൊവ്വയിലേയ്ക്ക് ആളെ അയയ്ക്കും<br><br>ഭൂമിയുടെ അച്ചു തണ്ട് ബലപ്പെടുത്താൻ ആളെ വിടും<br><br>ഓസ്‌ട്രെലിയൻ കംഗാരുകൾക്ക് സൗജന്യ സഞ്ചി കയറ്റി അയയ്ക്കും <br><br>ഫെസ്ബുക്കിന്റെ അൽഗോരിതം സ്വന്തമായി നിർമ്മിക്കും,<br><br>വാട്സാപ് ട്വിറ്റർ എന്നിവയ്ക്ക് പുതിയ തീം കളർ നിർദ്ദേശിക്കും <br><br>ഇസ്രായേൽ -പാലസ്തീൻ പ്രശ്നം പരിഹരിക്കാൻ മുൻ കൈയ്യെടുക്കും<br><br>ഗുണമേന്മയുള്ള 5G ഇന്റർനെറ്റ്‌ നിർമിക്കുന്ന ഫാക്ട്ടറി<br><br>സ്വന്തം മൊബൈൽ ഫോൺ നിർമ്മാണ കമ്പനി, കമ്പ്യൂട്ടർ നിർമ്മാണം,കാർ ഫാക്ട്ടറി, ട്രെയിൻ ബോഗി നിർമ്മാണം,<br><br>ലൂപ് ട്രെയിൻ, അന്തർ വാഹിനി,<br><br>കടൽ സിംഹങ്ങൾക്ക് പാർക്ക്, കടലാമയ്ക്ക് മുട്ടയിടൽ കേന്ദ്രം<br>ന്യൂനപക്ഷ ഡോൾഫിൻ കുഞ്ഞുങ്ങൾക്ക് സൗജന്യ നീന്തൽ പരിശീലനം<br><br>കടൽ കാക്കയ്ക്ക് വിശ്രമ കേന്ദ്രം,<br><br>പെലിക്കണുകൾക്ക് യാത്രാ ബത്ത <br><br>യുദ്ധ വിമാനം യുദ്ധ കപ്പൽ നിർമിക്കുന്ന ഫാക്ട്ടറി<br><br>ഫാസിസം നേരിടാൻ പ്രത്യേക ദൗത്യ സേന<br><br>നവോത്ഥാന നിർമ്മാണ യൂണിറ്റ്<br><br>ലോക മതേതരത്വം ഉറപ്പിക്കാൻ ആഗോള ടെണ്ടർ..<br><br>ആശയം കടമെടുക്കൽ സ്റ്റാർട്ട് അപ്പുകൾക്ക് ധനസഹായം",positive,4
കേരള കമ്മി ബജറ്റിനെ കുറിച്ച് ഓർത്തപ്പോൾ ഈ കഥ ഓർമ്മ വന്നു😃<br><br>ശങ്കുണി മേനോൻ അന്തരിച്ചു.<br><br>വൈകുന്നേരം നാല് മണിക്കായിരുന്നു അന്ത്യം. ഘടാഘടിയനും താന്തോന്നിയും അസാമാന്യ ധൈര്യശാലിയുമായിരുന്നു.<br><br>രാവിലെ പത്ത് മണിയോടെ നാട് നീങ്ങും എന്നായിരുന്നു വൈദ്യൻ വിധിച്ചത്.<br>വൈദ്യനെ പോലും തോല്പിച്ച 6 മണിക്കൂർ. <br>ഭാര്യയും മക്കളും മരുമക്കളും എല്ലാം അടുത്തുണ്ട് . <br><br>വൈദ്യരുടെ പ്രവചനത്തെ പോലും തോല്പിച്ച മേനോനോട് അയൽക്കാർക്കും ബഹുമാനമായിരുന്നു. <br>മരിച്ച് കിടക്കുന്ന മേനോന്റെ പ്രൗഢ ഗംഭീര മുഖത്ത് നോക്കി അയലത്തെ പെണ്ണുങ്ങൾ മൂക്കത്ത് വിരൽ വച്ച് അടക്കം പറഞ്ഞു... &#39;എന്തൊരു പ്രൗഢിയാണ് ചത്ത് കിടക്കുമ്പോഴും ചമഞ്ഞ് കിടക്കുന്നത് കണ്ടില്ലേ&#39;<br><br>തറവാട് ക്ഷയിച്ചെങ്കിലും കോലോത്ത് ഒന്നിനും കുറവില്ലായിരുന്നു. <br>സുഭിക്ഷ ഭക്ഷണവും പുത്തനുടുപ്പുകളും മേനോൻ ഉറപ്പാക്കിയിരുന്നു. <br>തറവാട്ട് മുറ്റത്ത് തലയെടുപ്പോടെ ആന ചിന്നം വിളിച്ചു. വേലക്കാരികളുടെ എണ്ണത്തിനോ കാവൽക്കാരുടെ വേഷഭൂഷാദികൾക്ക് പോലുമോ കോട്ടം തട്ടിയില്ല.<br><br>ശങ്കുണ്ണി മേനോനെ കണ്ട് പഠിക്കണമെന്ന് അന്യ നാട്ടുകാരുപോലും പറയാറുണ്ട്. <br>ഇരു ചെവിയറിയാതെ എല്ലാം മേനോൻ നോക്കി നടത്തിയിരുന്നു.<br><br>ദഹനവും സഞ്ചയനവും കഴിഞ്ഞു. 41 ന് സർവ്വാണി സദ്യയും കഴിഞ്ഞു. .<br>തറവാട്ടിലെ അന്തേവാസികൾ മാത്രം ബാക്കിയായി.<br>വട്ടമേശ യോഗത്തിൽ കൂട്ടത്തിൽ മൂത്തയാൾ അനന്തരാവകാശിയായി ചാർജ് എടുത്തു. <br><br>മേനോന്റെ ഓർമ്മക്കായി പൂർണ്ണകായ പ്രതിമ എന്ന നിർദ്ദേശം കൂട്ടത്തിലാരോ മുന്നോട്ട് വെച്ച് . <br>കൊള്ളാമെന്ന് എല്ലാരും സമ്മതിച്ചു. കണക്കപ്പിള്ളയോട് ഖജാനയുടെ വിവരം വായിക്കാൻ ആവശ്യപ്പെട്ടു.<br>കണക്കപ്പിള്ള ആരുടെയും മുഖത്ത് നോക്കാതെ പറഞ്ഞു. <br>&#39;പ്രതിമ വേണ്ട ഒരു ഫോട്ടോ വരച്ച് വെച്ചാൽ മതി.&#39;<br><br>പറ്റില്ലെന്ന് എല്ലാരും തീർത്തു പറഞ്ഞു. അല്ലലറിയിക്കാതെ കുടുംബം പോറ്റിയ മനുഷ്യനോട് നന്ദി കേട് പാടില്ല. അവർ ഉറപ്പിച്ചു.<br>വഴങ്ങില്ലെന്ന് മനസ്സിലായ കണക്കപ്പിള്ള കണക്ക് പുസ്തകം മേശപ്പുറത്ത് വെച്ചു.<br>പുതുതായി ചാർജെടുത്ത അധികാരി പുസ്തകത്തിലൂടെ കണ്ണോടിച്ചു...<br><br>-ആന പണയത്തിലാണ്<br>- തെങ്ങും തോപ്പ് പണയത്തിലാണ്<br>- തറവാട് പണയത്തിലാണ്.<br>- ചുറ്റുമതിലിന്റെ കല്ലുകൾ വിറ്റു. മരണ ശേഷം പൊളിക്കാനാണ് കരാർ..<br><br>കണക്ക് പുസ്തകം മുഴുവൻ വായിച്ച് വിയർക്കുന്ന പുത്തനധികാരിയോട് മറ്റുള്ളവർ കാര്യം തിരക്കി.<br><br>അധികാരി മീശ പിരിച്ച് കാർക്കിച്ച് തുപ്പി പതിഞ്ഞ ശബ്ദത്തിൽ പറഞ്ഞു:<br>&#39;നായിന്റെ മോൻ&#39;.<br><br>✍ വി.കെ.എൻ.,positive,0
അടങ്കൽ തുക എത്ര?,positive,2
ഇനി ഒരു കാലത്തും കമ്മ്യൂണിസ്റ്റ് പാർട്ടിക്ക് വോട്ട് കൊടുക്കില്ല.തീർച്ച........,negative,4
K N Balagopal,positive,2
"മിസ്സിന്റെ ക്ലാസ്സ് എനിക്ക് ഒത്തിരി ഇഷ്ടമാണ്. വലിച്ചു നീട്ടാതെയുള്ള അവതരണമാണ് ഇതിൽ ഏറ്റവും പ്രധാനമായിട്ട് പറയേണ്ടത്. ബജറ്റ് സെഷൻ എന്ന് പറയുന്നത് വളരെ ബോറടിപ്പിക്കുന്ന കാര്യമാണ് പക്ഷേ മിസ്സിന്റെ ക്ലാസ്സ് കൊള്ളായിരുന്നു കാരണം മിസ്സ് പ്രധാനപ്പെട്ട പദ്ധതികൾ, അത് എന്താണ്, ഇങ്ങനെയുള്ള കാര്യങ്ങൾ മാത്രമേ ഉൾക്കൊള്ളിച്ചിട്ടുള്ളൂ. അത് വളരെ നന്നായി. കേന്ദ്ര ബഡ്ജറ്റും ഇതുപോലെ ഉൾക്കൊള്ളിച്ചിരുന്നെങ്കിൽ വളരെ നന്നായിരുന്നു. കേന്ദ്ര ബഡ്ജറ്റ് എടുത്തത് മറ്റൊരു സാറാണ് പക്ഷേ എനിക്ക് അത് ഇഷ്ടപ്പെട്ടില്ല. മിസ്സ് എടുത്താൽ മതിയായിരുന്നു",neutral,3
I appreciate for uploading this video.<br>പക്ഷേ നോക്കി വായിക്കാൻ എല്ലാർക്കും അറിയല്ലോ... ഓരോ സ്‌കീമും എന്താണെന്ന് പറഞ്ഞു തന്നാൽ ആയിരുന്നു ഉപകാരം..😐,negative,4
Miss kendra budget ithupole eduthu tharavo?,positive,1
"<a href=""https://www.youtube.com/watch?v=k5v3dDgvAOk&amp;t=0m33s"">0:33</a> KN ബാലഗോപാൽ അല്ലേ",negative,1
Raji vaykku pinarayi,negative,0
"എസ്സ്.കെ.സജീഷ് പണ്ടത്തേതിലും കുറെ വണ്ണം വെച്ചിട്ടുണ്ട്, ജനങ്ങൾ മൂന്നു കോടിയിലധികം വിഷമത്തിൽ കഴിയുമ്പോൾ കമ്മ്യൂണിസ്റ്റുകളുടെ പുഷ്കല കാലം, ധന മന്ത്രിയും തടിച്ചിട്ടുണ്ട്.",negative,0
ഈ പരിഷ്ക്കാരം. കേരളത്തെ . ബംഗാളിലെ സ്തിതിയിലെത്തിക്കും. സ്തലം വിറ്റ് കടം തീർക്കാനും കഴിയാതെ വരും . സർക്കാർ ജീവനക്കാരെ പ്രീതിപ്പെടുത്താൻ . എന്തു തെടുക്കമായിരുന്നു,positive,5
ആം ആദ്മി 20 20 സംഖ്യത്തിന് മാത്രമേ കേരളത്തിലെ സാധാരണ കാരനെ രക്ഷിക്കാൻ കഴിയൂ. ബാക്കി എല്ലാ പാർട്ടി നേതാക്കൻമാരും പിച്ച ചട്ടിയിൽ കയ്യിട്ട് കാലം കഴിക്കാൻ നടക്കുന്നവരാണ്.,negative,2
പരസ്യപ്പെട്ടി,negative,0
സ്വജനമാനദണ്ഡം <br>വിലവർധന ലക്ഷങ്ങൾ ശമ്പളം വാങ്ങുന്നവരെ ബാധിക്കില്ല <br>സാമൂഹ്യ സുരക്ഷ ദരിദ്രർക്ക് എന്തു ഗുണം. ഫണ്ട് വേണ്ടപ്പെട്ടവർക്ക് വാരിക്കോരി കൊടുക്കാൻ ജനങ്ങളെ പിഴിയണം,negative,1
😂,positive,2
അയാളെ ഇറക്കി വിടാമോ,neutral,5
Salary vetti kurakkedoo,positive,4
കേന്ദ്രം GSTഇൽ ചേർക്കണം പെട്രോളിന്,negative,2
ബാക്കിയുള്ള ഒരു സംസ്ഥാനത്തു ഇല്ലല്ലോ എടാ നാ റീ ഇത്രയും വില,negative,4
"Habibi come to chennai<br>Evide joli undu, tax kuravaa, petrol kuravaa<br>Complete vibeaa",negative,4
ഇന്ത്യ മുഴുവൻ 10 രൂപ കുറച്ചപ്പോൾ കേരളം കുറച്ചില്ല<br>ഇപ്പോൾ അതിനുപുറമേ സെസ്സും<br>പൊതുജനം എന്ന -----ആയ സുകുമാർ അഴിക്കൊടിന്റെ ഭാഷയിൽ പറഞ്ഞാൽ ജനങ്ങൾ കേരളത്തിൽ ഉള്ളകാലം വരെ ഇതുതന്നെയാണ് അവസ്ഥ,negative,2
Creative models 😁😁😁,neutral,3
മുല്ലപെരിയാർ നെ കുറിച്ച് കേരള രാഷ്ട്രീയം പറയാത്തത് തമിഴ്നാടിന്റെ പിന്നണി രാഷ്ട്രീയം. ശേഷം ഭാഗറ്റും ആയി ഇറങ്ങാനാവും രാഷ്ട്രീയ കാരുടെ പ്ലാൻ.,negative,4
manassilayilla,negative,1
LDF വരും എല്ലാം ശരിയാകും. 😄,negative,1
ഈ രണ്ടു ബോറാന്മാരെയും എടുത്തു തുറക്കളയണം. നവ ആശയങ്ങളുമായീ എത്രയോ പേരുണ്ട്,negative,0
"അദാനി ബിജെപി ഓഫിസിൽ നിന്ന് ഇറങ്ങി വരുന്ന ഒരു ഫോട്ടോ വേണമായിരുന്നു. <br>ഒരു ബാലൻസിങ്ങിനാണ്......<br><br>നിങ്ങൾക്കറിയാമോ ?<br><br> ചോദ്യം: ആരാണ് അദാനിക്ക് പാമോയിലിന് ലൈസൻസ് നൽകിയത്?<br><br> എ: രാജീവ് ഗാന്ധി, കോൺഗ്രസ് സർക്കാർ, വർഷം: 1989.<br><br> ചോദ്യം: ഇന്ത്യയിലെ ഏറ്റവും വലിയ തുറമുഖ/കടൽ വ്യാപാരം അദാനിക്ക് നൽകിയത് ആരാണ്?<br><br> എ: നരസിംഹ റാവു, കോൺഗ്രസ് സർക്കാർ, വർഷം: 1993<br><br> ചോദ്യം: ആരാണ് അംബാനിക്ക് റിലയൻസ് റീട്ടെയിൽ ലൈസൻസ് നൽകിയത്?<br><br> എ: മൻമോഹൻ സിംഗ്, കോൺഗ്രസ് സർക്കാർ, വർഷം: 2005<br><br> ചോദ്യം: ആരാണ് അംബാനിക്ക് 4G ലൈസൻസ് നൽകിയത്?<br><br> എ: മൻമോഹൻ സിംഗ്, കോൺഗ്രസ് സർക്കാർ, വർഷം: 2013<br><br> ചോദ്യം: 11 മുതൽ 11 വരെ ഹൈവേ കരാറുകൾ അംബാനിക്ക് നല്കിയത് ആരാണ്?<br><br> എ: ടി.ആർ. ബാലു - ഡിഎംകെ / കോൺഗ്രസ് സർക്കാർ, വർഷം: 2009 മുതൽ 2013 വരെ.<br><br>ചോ: കേരളത്തിലെ വിഴിഞ്ഞം തുറമുഖം അദാനിക്ക് ആരാണ് നൽകിയത്?<br><br> എ: മൻമോഹൻ സിംഗ്, 2013 - 2014, കമ്മ്യൂണിസ്റ്റ് സർക്കാർ പിന്തുണയോടെ.<br><br> ചോദ്യം: 6100 മെഗാവാട്ട് പവർ പ്ലാന്റ് അദാനിക്ക് നൽകിയത് ആരാണ്?<br><br> A: അമരീന്ദർ സിംഗ്, പഞ്ചാബ് മുഖ്യമന്ത്രി, കോൺഗ്രസ് സർക്കാർ, വർഷം - നവംബർ 2020.<br><br>എന്നാൽ മോദിയാണ് അദാനിയെയും അംബാനിയെയും വളർത്തിയത് /സഹായിക്കുന്നത് എന്നാണ് ചില പ്രതിപക്ഷ പാർട്ടികൾ പ്രചരിപ്പിക്കുന്നത്.<br><br>നമ്മൾ യാഥാർത്ഥ്യങ്ങൾ അറിഞ്ഞിരിക്കുക.........",positive,0
ചക്ക എന്നുപറയുമ്പോൾ മാങ്ങാ എന്ന് പറയുന്ന സിപിഐഎം പ്രതിനീതി. പോയി ചകിനെടാ himare,positive,5
അവിടെ നിന്നും കിട്ടുന്നതും വാങ്ങി സ്വയം പുട്ടടിച്ചു കഴിഞ്ഞാൽ പോരാ. ഉള്ളതും കൂടി ഇല്ലാതാക്കല്ലേ സഖാവെ,positive,2
"ജനത്തിന് വില ഉണ്ടെങ്കിൽ എന്താ ഇല്ലെങ്കിൽ എന്താ, എന്ന് ഭരണത്തിൽ നിന്നും ഇറങ്ങുന്നുവോ, അടുത്ത വിമാനത്തിൽ നമ്മ സ്ഥലം വിടും.",positive,0
Keep a rope (kayar) in the next kit. Avoid papadam.,neutral,1
എന്നാൽ പിന്നെ കേരളത്തിന്റെ ടാക്സ് 25 രൂപ കുറക്കരുതോ,positive,2
സജിഷിനു ക്യാപ്സുൽ കിട്ടിയില്ല...,negative,5
ലേശം ഉളുപ്പ്.... കഷ്ടം.,negative,4
ദാരിദ്ര്യവും വർധിക്കുന്നത് കൊണ്ടാണ് മണ്ടാ പൊതു vidhyabhasavum റേഷൻ കടയും govt ആശുപത്രിയും ആളുകൾ തിരഞ്ഞെടുക്കുന്നത്... മണ്ടന്മാർ തന്നെ,negative,2
"പച്ച നുണ പറയാൻ വേണ്ടി മാത്രം നടക്കുന്ന ചില വ്യക്തികൾ. നുണ പ്രചരിപ്പിച്ച് മാത്രം ഭരണത്തിൽ വന്ന ആൾക്കാരാണ് ഇവർ. ക്ഷേമ പെൻഷൻ കൊടുക്കാൻ മദ്യത്തിലും ഇന്ധനത്തിലും അധിക നികുതി ഈടാക്കി ജനങ്ങൾക്ക് കൊടുക്കാൻ നാണമില്ലേ, ഈ നാട്ടിൽ മദ്യവും ഇന്ധനവും മാത്രമേ ഉള്ളൂ വരുമാന മാർഗം. സംസ്ഥാനത്ത് നികുതി കൊണ്ടുവരേണ്ടതാണ് അനേകം സംരംഭങ്ങൾ കൊണ്ടുവരേണ്ടത് ഈ സർക്കാറിൻറെ അജണ്ടയിൽ പോലുമില്ല. ഹാ കഷ്ടം",positive,4
Podo narikale<br>Nakki Government,negative,5
"ക്ഷേമ പെൻഷൻ കൊടുക്കാൻവേണ്ടി പെട്രോൾ വില കൂട്ടുന്നതിനു പകരം, പെൻഷൻ കൊടുക്കൽ നിർത്തുന്നതാണ്. പെട്രോൾ വില കുറഞ്ഞാൽ സാധനങ്ങളുടെ വില കുറയും . അപ്പോൾ ജീവിതചെലവ് കുറയും. തേച്ചു മിനുക്കിയ അക്ഷരങ്ങൾ ഉപയോഗിച്ച് വർത്തമാനം പറഞ്ഞു ആളുകളെ പറ്റിക്കുന്ന ഈ ഇടപാട് നിർത്തണം. ഇത് കേൾക്കാൻ ആളുണ്ടാവില്ല.",negative,4
Inni njn evanmark janmath vote cheyila narikal,neutral,2
എന്റെ സജീഷ്. ഇന്ത്യൻ. പ്രധാന മന്ത്രി. പിണറായി വിജ യനാണോ. അതോ. ശ്രീ നരന്ദ്ര ദാമോദരമോതിയാണോ. കേന്ദ്രം എന്തു കൊടുത്താലും. നിങ്ങൾക് ദുർത്തെ അടിക്കാനല്ലേ അല്ലാതെ. ജെനങ്ങൾക്. നിങ്ങൾ കിറ്റ് മാത്രമല്ലേ കൊടുക്കുന്നള്,negative,4
കേരളത്തിലെ പട്ടിണിപാവങ്ങളുടെ വിരൽത്തുമ്പിൽ വന്ന വിവരക്കേട് ഇന്ന് അവരുടെ വയറ്റത്തടിച്ചു,positive,0
വിവര മില്ലാത്ത ഉല,negative,2
Paniyeduth jeevikkada thendikale,negative,4
PSC pinvathil niyamanamalle nadthiyath,negative,2
പിരു ജു കിട്ടുന്നത് തുക പിണറായി യുടെ accountൽ ഇടണം.,neutral,3
"Pottanodu vedhamodhiyittu karyamundo Sureshetta,pottanennumm bhh bhh bhaa enne parau",negative,4
കേരളം നശിപ്പിച്ചു,negative,1
"Petrol diesel price koodiyale pinna bus charge kootan strike varum, vegitable rate kootum,goods Ellam rate koodum. Ethu seri anoo???",negative,1
"ഇതൊക്കെ നടപ്പിലാക്കാൻ കാശില്ലെങ്കിൽ അതു സാധാരണ കാരന്റെ തലയിൽ ഇട്ടാൽ മാത്രേ പറ്റുവോ സഖാക്കളെ, പൈസ കിട്ടണമെങ്കിൽ നിങ്ങൾ ഈ സെസ് govt ജീവനക്കാരുടെ സാലറിയിൽ നിന്നും ഈടാക്കു.<br>Salary സ്കെയിൽ ന്റെ അടിസ്ഥാനത്തിൽ സെസ് ന്റെ percentage കൂട്ടു.",negative,0
Vidhyabyasam ilathavane ok manthri kaserayil irithiyal ingane undakum. Kitt um kuppim mathiyee samthustaranu kerala model,neutral,0
പ്രതികരിക്കാൻ ആളില്ലാതെ പോയി,negative,5
LDF വരും ആളെ കൊല്ലും,neutral,2
Evati psra velayadu jevikan,neutral,0
ബഡ്ജറ്റ് തയ്യാറാക്കിയത് ചിന്ത യാണെന്ന് തോന്നുന്നു,negative,1
Evanaru rajaoo.,negative,2
സജീഷേ താനും തന്റെ പാർട്ടിയും നേതാക്കളും അണികളും പൊട്ടൻമാരായിരിക്കാം<br>കേരളത്തിലെ മറ്റ് ജനങ്ങൾ അന്നം കഴിക്കുന്നവരാണ്<br>അതോർത്താൽ നന്ന്,negative,5
I think they don&#39;t have shame,negative,4
ജനത്തിന് വിലയില്ല വോട്ടിനു വിലയുണ്ട്‌ ഉറപ്പായി എല്ലാം ശരിയാക്കി തന്നിട്ടുണ്ട്,negative,2
ഒരു ഉളുപ്പും ഇല്ലല്ലോ സി പി എം ന്യായികരണ കമ്മിക്ക് 😅,negative,4
Jose Sebastian correct point pointae paranjhu 👌,positive,4
ഇനി കേരള സംസ്ഥാനം വിടുന്ന ആളുകൾക്ക് അത് അന്യ സമസ്ഥാനത്തേക്കോ അന്യ രാജ്യങ്ങളിലേക്കോ പോകുന്നവർക്ക് എസ്‌കയ്പ് tax ഏർപ്പെടുത്തടോ l d f നാറികളെ,negative,2
keralathil.30%pakisthan.30%Chinese.chinthagathiyulla.janangalanullathu.keralam.mudinjalum.everkku.prasnamilla,negative,3
"മന്ത്രിമാരുടേയും, ജനപ്രതിനിധികളുടെയും ശമ്പളവും, പെൻഷനും.. അതുപോലെതന്നെ സർക്കാർ ജീവനക്കാരുടെ അമിതമായ ശമ്പളവും, പെൻഷനും കുറച്ചാൽ മതി സാമൂഹിക പെൻഷൻ കൊടുക്കുവാൻ ഇത് ഏതൊരു മലയാളിക്കും അറിയാവുന്ന കാര്യമാണ്..<br> രാഷ്ട്രീയ ന്യായീകരണ തൊഴിലാളികൾ എന്തുപറഞ്ഞാലും അത് ജനങ്ങൾ അംഗീകരിക്കണമെന്നില്ല ആ കാലം എല്ലാം മാറി വരികയാണെന്ന് എല്ലാവരും മനസ്സിലാക്കുക.",negative,4
ജനങ്ങളേ സഹായിയ്ക്കാനും സേവിയ്ക്കാനും ഇറങ്ങിയ സഖാക്കളേ . കേരളത്തിൻ്റെ ചിലവു ചുരുക്കുന്നതിനും വേണ്ടി നിങ്ങളുടെ സ്വന്തം ഭീമമായ ശമ്പളം വേണ്ടെന്നു വെയ്ക്കാൻ എത്ര പേരുണ്ടാവും ? ഒന്നു കുറയ്ക്കാൻ നിങ്ങളാരെങ്കിലും തയ്യാറാണോ ? എന്നിട്ട് പറയൂ ജന സേവകരാന്ന് .,neutral,1
"<a href=""https://www.youtube.com/watch?v=qtCTELwyfxk&amp;t=6m57s"">6:57</a>🤣🤣 annakki piri vetti 🐘enn choyicha 🍋 enn parayunna vanam🚀 ijathi💊",neutral,1
Keralam Bengal pole aakuo..<br>Ini 3 kollam koodi und..<br>Pokk knditt kuthu pala eduppikum ivanmar,negative,0
"Balagopalan .,Registration Feesil Partykkum Panku kittumaayirikkum.....",negative,0
ഇനി കേരളത്തിൽ ഭരണം കിട്ടണമെങ്കിൽ കുറച്ചു ബുദ്ധിമുട്ടും,negative,5
നാണമില്ലേ ഇങ്ങനെ ഇരുന്ന് നിങ്ങൾ പറയാൻ കേരളത്തിന് കിട്ടിയ ഏറ്റവും വലിയ ഹിറ്റാണ് മുക്രി മുണ്ടൻ രാജാവിനെ മരമണ്ടൻ ധനമന്ത്രി ഇത് കിട്ടിയത്,neutral,2
സെബാസ്റ്റ്യൻ സാർ പറഞ്ഞത് 100%ശരിയാണ്. പുതിയ ഒരു വരേണ്യവർഗം ഉദയം കൊള്ളുന്നു.,negative,0
"പെട്രോൾ വില... കേന്ദ്ര കൊള്ള ആണ് എന്ന് പറഞ്ഞ ടീംസ് ആണ് ഇവർ.... ഇപ്പോ അതുക്കും മേലെ കൊള്ള ഇവർ ആണ്...<br>പെട്രോൾ വില...<br>മാഹി 93...<br>ഗുജറാത്തിൽ 96<br>കർണാടക 100<br>കേരളത്തിൽ 107, ഇനി 109,110<br>ഇത് എല്ലാം നോക്കിയ കൊള്ള മുഴുവൻ കേരള സർക്കാർ ആണ് എന്ന് മനസ്സിൽ ആകും....<br>കേന്ദ്രത്തിന്റെ പേരിൽ... ഇവർ ജങ്ങളെ കൊള്ള ചെയുന്നു എന്നിട് അത് കേന്ദ്രത്തിന്റെ മേലെ edu കൊടുക്കുന്നു....<br>ഇത് ആർക്കും മനസ്സിൽ ആകില്ല എന്ന് ആണ് ഇവരുടെ വിചാരം...<br>ചോദിച്ച കേന്ദ്ര എന്ന് പറയാം... അത്ര തന്നെ...",neutral,1
ജനത്തിന് വിലയില്ലേ എന്നല്ല വിവരമില്ലേ,positive,2
മന്ത്രിമാർക്കും എം എൽ എ മാർ ക്കും സാധാരണ ജനങ്ങളെ പോലെ രാജ്യത്തെ നികുതി കൊടുക്കാൻ അവരും ബാദ്ധ്യസ്ഥരാണ്,negative,5
